Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,!!! RT <user> As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...
1,3,0,3,0,1,!!!!! RT <user> boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!
2,3,0,3,0,1,!!!!!!! RT <user> Dawg!!!! RT <user> You ever fuck a bitch and she start to cry? You be confused as shit
3,3,0,2,1,1,!!!!!!!!! RT <user> <user> she look like a tranny
4,6,0,6,0,1,!!!!!!!!!!!!! RT <user> The shit you hear about me might be true or it might be faker than the bitch who told it to ya &<hashtag>
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!""<user> The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! &<hashtag>"
6,3,0,3,0,1,"!!!!!!""<user> I can not just sit up and HATE on another bitch .. I got too much shit going on!"""
7,3,0,3,0,1,!!!!&<hashtag> cause I'm tired of you big bitches coming for us skinny girls!!&<hashtag>
8,3,0,3,0,1,""" &amp; you might not get ya bitch back &amp; thats that """
9,3,1,2,0,1,""" <user> :hobbies include: fighting Mariam""

bitch"
10,3,0,3,0,1,""" Keeks is a bitch she curves everyone "" lol I walked into a conversation like this. Smh"
11,3,0,3,0,1,""" Murda Gang bitch its Gang Land """
12,3,0,2,1,1,""" So hoes that smoke are losers ? "" yea ... go on IG"
13,3,0,3,0,1,""" bad bitches is the only thing that i like """
14,3,1,2,0,1,""" bitch get up off me """
15,3,0,3,0,1,""" bitch nigga miss me with it """
16,3,0,3,0,1,""" bitch plz whatever """
17,3,1,2,0,1,""" bitch who do you love """
18,3,0,3,0,1,""" bitches get cut off everyday B """
19,3,0,3,0,1,""" black bottle &amp; a bad bitch """
20,3,0,3,0,1,""" broke bitch cant tell me nothing """
21,3,0,3,0,1,""" cancel that bitch like Nino """
22,3,0,3,0,1,""" cant you see these hoes wont change """
23,3,0,3,0,1,""" fuck no that bitch dont even suck dick "" &<hashtag> the Kermit videos bout to fuck IG up"
24,3,0,3,0,1,""" got ya bitch tip toeing on my hardwood floors "" &<hashtag> <url>"
25,3,0,2,1,1,""" her pussy lips like Heaven doors "" &<hashtag>"
26,3,0,3,0,1,""" hoe what its hitting for """
27,3,0,3,0,1,""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &<hashtag>"
28,3,0,3,0,1,""" i need a trippy bitch who fuck on Hennessy """
29,3,0,3,0,1,""" i spend my money how i want bitch its my business """
30,3,0,3,0,1,""" i txt my old bitch my new bitch pussy wetter """
31,3,0,3,0,1,""" i'd say im back to the old me but my old bitches would get excited "" &<hashtag>"
32,3,0,3,0,1,""" if you aint bout that Murder Game pussy nigga shut up """
33,3,0,3,0,1,""" if you're toes ain't done you pussy stinks """
34,3,0,3,0,1,""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """
35,3,0,3,0,1,""" is that ya bitch """
36,3,0,3,0,1,""" it aint nothing to cut a bitch off """
37,3,0,3,0,1,""" jus meet son now he ya mane ass bitches "" <hashtag>"
38,3,0,2,1,1,""" lames crying over hoes thats tears of a clown """
39,3,0,3,0,1,""" like Snoop said in <number> we dont love these hoes """
40,3,0,1,2,2,""" momma said no pussy cats inside my doghouse """
41,3,0,3,0,1,""" most hated but the hoes favorite "" <hashtag> <hashtag> # <url>"
42,3,0,3,0,1,""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" <url>"
43,3,0,3,0,1,""" pimps up pimps up hoes down "" Future voice"
44,3,0,3,0,1,""" post a picture of that pussy get <number> likes """
45,3,0,3,0,1,""" pussy is a powerful drug "" &<hashtag> <hashtag> <url>"
46,3,0,3,0,1,""" quick piece of pussy call it a drive by """
47,3,0,3,0,1,""" running round here like some brand new pussy thats bout to get fucked """
48,3,0,3,0,1,""" these bitches even worst they'll send them guys for you """
49,3,1,2,0,1,""" these hoes like niggas that spend money not talk bout it """
50,3,1,2,0,1,""" we dont trust these niggas all these bitches """
51,3,0,3,0,1,""" yall niggas b cuffing hoes cause yall aint never have bitches """
52,3,0,3,0,1,""" you dodge a bullet "" &<hashtag> &<hashtag> ""All da bitches I cut off pregnant or bound to be ....thank God &<hashtag>"
53,3,0,3,0,1,""" young Pill Chamberlain these bitches love my music """
54,3,0,2,1,1,"""&<hashtag> Teanna Trump probably cleaner than most of these twitter hoes but........."""
55,3,0,3,0,1,"""&<hashtag> Gay niggas couldn't wait to act like bitches tonight"""
56,3,0,3,0,1,"""&<hashtag> And ima steal his cat n replace it with a pitbull &<hashtag> RT <user> <user> He a bitch you should do it"""
57,3,0,3,0,1,"""&amp; he's gone always be a hoe"""
58,3,0,3,0,1,"""...Son of a bitch took my Tic Tacs.""

I like this movie."
59,3,0,3,0,1,"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons"
60,3,0,2,1,1,"""<user> I probably wouldn&<hashtag> mind school as much if we didn&<hashtag> have to deal with bitch ass teachers"". Retweet"
61,3,0,3,0,1,"""<user> I'm a fucking fag they said"""
62,3,0,3,0,1,"""<user> Females think dating a pussy is cute now? <url> how does doing this stuff make him a pussy?"
63,3,0,0,3,2,"""<user> -SimplyAddictedToGuys <url> woof woof hot scally lad"
64,3,0,3,0,1,"""<user> Have ya ever asked your bitch for other bitches - kanye voice"" Yes"
65,3,0,3,0,1,"""<user> How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &<hashtag> I SWEAR!!!!!"
66,3,0,1,2,2,"""<user> <url> woof woof and hot soles"
67,3,0,1,2,2,"""<user> Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol"
68,3,0,3,0,1,"""<user> <user> <user> bitch fuck u <url> maybe you'll get better. Just <url>"
69,3,1,2,0,1,"""<user> Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"
70,3,0,0,3,2,"""<user> Why the eggplant emoji doe?""y he say she looked like scream lmao"
71,3,0,3,0,1,"""<user> Hennessey Venom GT &<hashtag> <url> that's one sexy bitch"
72,3,0,3,0,1,"""<user> Him seh me pussy wetter then a shower curtain....<hashtag>"
73,3,0,3,0,1,"""<user> <hashtag> and every <hashtag> need to see that pic I just posted because that bitch just said the most racist shit"""
74,3,1,2,0,1,"""<user> Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life <url>
<user>"
75,3,0,1,2,2,"""<user> baby monkey bathtime <url>
Awe! This is so ADORABLE!"
76,3,0,3,0,1,"""<user> &<hashtag> I ain't shit ."" Damn Skippy lol"
77,3,1,2,0,1,"""<user> u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;<number>%chance"
78,3,0,3,0,1,"""<user> <user> <url> <number> rings <number> mvps <number> bitches lol"
79,3,1,2,0,1,"""<user> ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had fun !"""
80,9,0,7,2,1,"""<user> The facts on tattoos...tattoo <url> he's a pussy with not tattooing them nipples"
81,3,0,3,0,1,"""<user> &<hashtag> RT <user> Bitches be wanting to act like niggas so bad &<hashtag> that shit aint cute"" but niggas act like bitches.."
82,3,0,3,0,1,"""<user> Get worshiping bitch! <url> woof woof"
83,3,1,2,0,1,"""<user> Wow. RT <user> I'm lost. Are those buttcheek piercings? <url> yeah she's a hoe"
84,3,0,3,0,1,"""<user> Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
85,3,2,1,0,0,"""<user> <user> <user> queer"" gaywad"
87,3,0,3,0,1,"""<user> <user> faggot read my tweets after dat k"" it wasn't even funny lol"
88,3,0,3,0,1,"""<user> This bitch was so ungrateful <url> fr ..... LULWHORE"
89,3,0,3,0,1,"""<user> I been kidnapped yo bitch"""
90,3,3,0,0,0,"""<user> <user> alsarabs"" hes a beaner smh you can tell hes a mexican"
91,3,1,2,0,1,"""<user> <user> happy birthday nigs"" Thanks yo"
92,6,1,5,0,1,"""<user> when ur teacher tells u that u have homework <url> this bitch need to go!!!"
93,3,1,2,0,1,"""<user> ""<user> <user> that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. <url>"
94,3,0,3,0,1,"""<user> What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?"""
95,3,1,2,0,1,"""<user> Leafs better win this damn game so I can go riot and shit <hashtag> you better start looting my nig"
96,3,0,3,0,1,"""<user> Going back to school sucks more dick than the hoes who attend it."""
97,3,0,3,0,1,"""<user> On my way to fuck yo bitch <url> me as a <number> year old"
98,3,0,3,0,1,"""<user> <user> how come you never bring me food"" i dont have a car retard"
99,3,0,3,0,1,"""<user> If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like <number> prople"
100,3,1,2,0,1,"""<user> How bout them Cowboys!!!!"" Shutup pussy"
101,3,0,3,0,1,"""<user> LMAO this nigga <user> <url> &lt;bitch want likes for some depressing shit..foh"
102,3,0,3,0,1,"""<user> <user> girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz"
103,3,0,3,0,1,"""<user> Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"
104,3,0,2,1,1,"""<user> Harlem shake is just an excuse to go full retard for <number> seconds."""
105,3,0,3,0,1,"""<user> amen miley &<hashtag> <url> but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"
